terminal	axis	variant	rep	metric	value	unit
noa	throughput	ascii	1	inner_ns	998782000	ns
noa	throughput	ascii	1	total_ns	1233375000	ns
noa	throughput	ascii	2	inner_ns	993051000	ns
noa	throughput	ascii	2	total_ns	1238862000	ns
noa	throughput	ascii	3	inner_ns	961591000	ns
noa	throughput	ascii	3	total_ns	1203611000	ns
noa	throughput	ascii	median	inner_ns	993051000	ns
noa	throughput	ascii	median	mib_per_s	0.0	mib_s
noa	throughput	unicode	1	inner_ns	889406000	ns
noa	throughput	unicode	1	total_ns	1128846000	ns
noa	throughput	unicode	2	inner_ns	862035000	ns
noa	throughput	unicode	2	total_ns	1105407000	ns
noa	throughput	unicode	3	inner_ns	866061000	ns
noa	throughput	unicode	3	total_ns	1106218000	ns
noa	throughput	unicode	median	inner_ns	866061000	ns
noa	throughput	unicode	median	mib_per_s	0.0	mib_s
noa	scroll	-	1	inner_ns	177555000	ns
noa	scroll	-	2	inner_ns	188812000	ns
noa	scroll	-	3	inner_ns	186012000	ns
noa	scroll	-	median	inner_ns	186012000	ns
noa	scroll	-	median	mib_per_s	0.0	mib_s
noa	latency	-	1	median_ns	13000	ns
noa	latency	-	1	p99_ns	29000	ns
noa	latency	-	1	min_ns	10000	ns
noa	latency	-	2	median_ns	15000	ns
noa	latency	-	2	p99_ns	78000	ns
noa	latency	-	2	min_ns	9000	ns
noa	latency	-	median	median_ns	14000	ns
noa	latency	-	median	p99_ns	53500	ns
noa	startup	-	1	total_ns	252323000	ns
noa	startup	-	2	total_ns	247219000	ns
noa	startup	-	3	total_ns	231157000	ns
noa	startup	-	4	total_ns	230166000	ns
noa	startup	-	5	total_ns	234825000	ns
noa	startup	-	median	total_ns	234825000	ns
