terminal	axis	variant	rep	metric	value	unit
noa	throughput	ascii	1	inner_ns	1083097000	ns
noa	throughput	ascii	1	total_ns	1158990000	ns
noa	throughput	ascii	2	inner_ns	1069097000	ns
noa	throughput	ascii	2	total_ns	1142864000	ns
noa	throughput	ascii	3	inner_ns	1085333000	ns
noa	throughput	ascii	3	total_ns	1149442000	ns
noa	throughput	ascii	median	inner_ns	1083097000	ns
noa	throughput	ascii	median	mib_per_s	138.5	mib_s
noa	throughput	unicode	1	inner_ns	1009698000	ns
noa	throughput	unicode	1	total_ns	1085065000	ns
noa	throughput	unicode	2	inner_ns	1012425000	ns
noa	throughput	unicode	2	total_ns	1086889000	ns
noa	throughput	unicode	3	inner_ns	982505000	ns
noa	throughput	unicode	3	total_ns	1056125000	ns
noa	throughput	unicode	median	inner_ns	1009698000	ns
noa	throughput	unicode	median	mib_per_s	148.6	mib_s
ghostty	throughput	ascii	1	inner_ns	2122459000	ns
ghostty	throughput	ascii	1	total_ns	2386049000	ns
ghostty	throughput	ascii	2	inner_ns	2149904000	ns
ghostty	throughput	ascii	2	total_ns	2388937000	ns
ghostty	throughput	ascii	3	inner_ns	2107995000	ns
ghostty	throughput	ascii	3	total_ns	2353909000	ns
ghostty	throughput	ascii	median	inner_ns	2122459000	ns
ghostty	throughput	ascii	median	mib_per_s	70.7	mib_s
ghostty	throughput	unicode	1	inner_ns	1892471000	ns
ghostty	throughput	unicode	1	total_ns	2130880000	ns
ghostty	throughput	unicode	2	inner_ns	1916474000	ns
ghostty	throughput	unicode	2	total_ns	2137310000	ns
ghostty	throughput	unicode	3	inner_ns	1945288000	ns
ghostty	throughput	unicode	3	total_ns	2161853000	ns
ghostty	throughput	unicode	median	inner_ns	1916474000	ns
ghostty	throughput	unicode	median	mib_per_s	78.3	mib_s
termy	throughput	ascii	1	inner_ns	1045796000	ns
termy	throughput	ascii	1	total_ns	1249900000	ns
termy	throughput	ascii	2	inner_ns	1038093000	ns
termy	throughput	ascii	2	total_ns	1245503000	ns
termy	throughput	ascii	3	inner_ns	1103252000	ns
termy	throughput	ascii	3	total_ns	1304168000	ns
termy	throughput	ascii	median	inner_ns	1045796000	ns
termy	throughput	ascii	median	mib_per_s	143.4	mib_s
termy	throughput	unicode	1	inner_ns	996772000	ns
termy	throughput	unicode	1	total_ns	1191782000	ns
termy	throughput	unicode	2	inner_ns	999410000	ns
termy	throughput	unicode	2	total_ns	1196272000	ns
termy	throughput	unicode	3	inner_ns	1003363000	ns
termy	throughput	unicode	3	total_ns	1194286000	ns
termy	throughput	unicode	median	inner_ns	999410000	ns
termy	throughput	unicode	median	mib_per_s	150.1	mib_s
kitty	throughput	ascii	1	inner_ns	1447195000	ns
kitty	throughput	ascii	1	total_ns	1769437000	ns
kitty	throughput	ascii	2	inner_ns	1458385000	ns
kitty	throughput	ascii	2	total_ns	1757835000	ns
kitty	throughput	ascii	3	inner_ns	1446159000	ns
kitty	throughput	ascii	3	total_ns	1720564000	ns
kitty	throughput	ascii	median	inner_ns	1447195000	ns
kitty	throughput	ascii	median	mib_per_s	103.6	mib_s
kitty	throughput	unicode	1	inner_ns	1300721000	ns
kitty	throughput	unicode	1	total_ns	1580798000	ns
kitty	throughput	unicode	2	inner_ns	1308181000	ns
kitty	throughput	unicode	2	total_ns	1585786000	ns
kitty	throughput	unicode	3	inner_ns	1312323000	ns
kitty	throughput	unicode	3	total_ns	1588338000	ns
kitty	throughput	unicode	median	inner_ns	1308181000	ns
kitty	throughput	unicode	median	mib_per_s	114.7	mib_s
noa	scroll	-	1	inner_ns	346954000	ns
noa	scroll	-	2	inner_ns	320925000	ns
noa	scroll	-	3	inner_ns	327674000	ns
noa	scroll	-	median	inner_ns	327674000	ns
noa	scroll	-	median	mib_per_s	122.1	mib_s
ghostty	scroll	-	1	inner_ns	964690000	ns
ghostty	scroll	-	2	inner_ns	973196000	ns
ghostty	scroll	-	3	inner_ns	993359000	ns
ghostty	scroll	-	median	inner_ns	973196000	ns
ghostty	scroll	-	median	mib_per_s	41.1	mib_s
termy	scroll	-	1	inner_ns	275289000	ns
termy	scroll	-	2	inner_ns	270955000	ns
termy	scroll	-	3	inner_ns	272598000	ns
termy	scroll	-	median	inner_ns	272598000	ns
termy	scroll	-	median	mib_per_s	146.8	mib_s
kitty	scroll	-	1	inner_ns	382444000	ns
kitty	scroll	-	2	inner_ns	379633000	ns
kitty	scroll	-	3	inner_ns	370705000	ns
kitty	scroll	-	median	inner_ns	379633000	ns
kitty	scroll	-	median	mib_per_s	105.4	mib_s
noa	meta	-	-	equalized	grid=120x40;font=Menlo@14;ligatures-off;bg-off	note
ghostty	meta	-	-	equalized	grid=120x40;font=Menlo@14;clean-config	note
termy	meta	-	-	equalized	grid=NATIVE-DEFAULT(no-size-key);font=Menlo@14	note
kitty	meta	-	-	equalized	grid=120x40;font=Menlo@14;config=NONE	note
noa	latency	-	1	median_ns	30000	ns
noa	latency	-	1	p99_ns	75000	ns
noa	latency	-	1	min_ns	11000	ns
noa	latency	-	2	median_ns	28000	ns
noa	latency	-	2	p99_ns	260000	ns
noa	latency	-	2	min_ns	10000	ns
noa	latency	-	median	median_ns	29000	ns
noa	latency	-	median	p99_ns	167500	ns
ghostty	latency	-	1	median_ns	37000	ns
ghostty	latency	-	1	p99_ns	62000	ns
ghostty	latency	-	1	min_ns	12000	ns
ghostty	latency	-	2	median_ns	40000	ns
ghostty	latency	-	2	p99_ns	68000	ns
ghostty	latency	-	2	min_ns	13000	ns
ghostty	latency	-	median	median_ns	38500	ns
ghostty	latency	-	median	p99_ns	65000	ns
termy	latency	-	1	median_ns	16664000	ns
termy	latency	-	1	p99_ns	55408000	ns
termy	latency	-	1	min_ns	14818000	ns
termy	latency	-	2	median_ns	16665000	ns
termy	latency	-	2	p99_ns	18507000	ns
termy	latency	-	2	min_ns	14707000	ns
termy	latency	-	median	median_ns	16664500	ns
termy	latency	-	median	p99_ns	36957500	ns
kitty	latency	-	1	median_ns	3814000	ns
kitty	latency	-	1	p99_ns	4077000	ns
