terminal	axis	variant	rep	metric	value	unit
noa	startup	pty_ready	1	ms	75	ms
noa	startup	window_visible	1	ms	228	ms
noa	startup	pty_ready	2	ms	56	ms
noa	startup	window_visible	2	ms	207	ms
noa	startup	pty_ready	3	ms	51	ms
noa	startup	window_visible	3	ms	210	ms
noa	startup	pty_ready	4	ms	62	ms
noa	startup	window_visible	4	ms	236	ms
noa	startup	pty_ready	5	ms	66	ms
noa	startup	window_visible	5	ms	240	ms
noa	startup	pty_ready	median	ms	62	ms
noa	startup	window_visible	median	ms	228	ms
ghostty	startup	pty_ready	1	ms	188	ms
ghostty	startup	window_visible	1	ms	37	ms
ghostty	startup	pty_ready	2	ms	189	ms
ghostty	startup	window_visible	2	ms	36	ms
ghostty	startup	pty_ready	3	ms	193	ms
ghostty	startup	window_visible	3	ms	35	ms
ghostty	startup	pty_ready	4	ms	183	ms
ghostty	startup	window_visible	4	ms	38	ms
ghostty	startup	pty_ready	5	ms	195	ms
ghostty	startup	window_visible	5	ms	37	ms
ghostty	startup	pty_ready	median	ms	189	ms
ghostty	startup	window_visible	median	ms	37	ms
termy	startup	pty_ready	1	ms	179	ms
termy	startup	window_visible	1	ms	212	ms
termy	startup	pty_ready	2	ms	184	ms
termy	startup	window_visible	2	ms	214	ms
termy	startup	pty_ready	3	ms	179	ms
termy	startup	window_visible	3	ms	210	ms
termy	startup	pty_ready	4	ms	179	ms
termy	startup	window_visible	4	ms	206	ms
termy	startup	pty_ready	5	ms	172	ms
termy	startup	window_visible	5	ms	199	ms
termy	startup	pty_ready	median	ms	179	ms
termy	startup	window_visible	median	ms	210	ms
kitty	startup	pty_ready	1	ms	250	ms
kitty	startup	window_visible	1	ms	291	ms
kitty	startup	pty_ready	2	ms	245	ms
kitty	startup	window_visible	2	ms	281	ms
kitty	startup	pty_ready	3	ms	280	ms
kitty	startup	window_visible	3	ms	316	ms
kitty	startup	pty_ready	4	ms	248	ms
kitty	startup	window_visible	4	ms	281	ms
kitty	startup	pty_ready	5	ms	244	ms
kitty	startup	window_visible	5	ms	274	ms
kitty	startup	pty_ready	median	ms	248	ms
kitty	startup	window_visible	median	ms	281	ms
noa	scroll_retention	x	1	ms	207	ms
noa	scroll_retention	x	2	ms	215	ms
noa	scroll_retention	x	3	ms	240	ms
noa	scroll_retention	x	4	ms	210	ms
noa	scroll_retention	x	5	ms	209	ms
noa	scroll_retention	x	6	ms	216	ms
noa	scroll_retention	scrollback-limit = 1000000x	1	ms	196	ms
noa	scroll_retention	scrollback-limit = 1000000x	2	ms	199	ms
noa	scroll_retention	scrollback-limit = 1000000x	3	ms	211	ms
noa	scroll_retention	scrollback-limit = 1000000x	4	ms	196	ms
noa	scroll_retention	scrollback-limit = 1000000x	5	ms	188	ms
noa	scroll_retention	scrollback-limit = 1000000x	6	ms	199	ms
noa	scroll_retention	default_10MB	best	ms	207	ms
noa	scroll_retention	limit_1000lines	best	ms	188	ms
noa	latency_clean	-	1	median_ns	20000	ns
noa	latency_clean	-	1	p99_ns	89000	ns
noa	latency_clean	-	2	median_ns	20000	ns
noa	latency_clean	-	2	p99_ns	87000	ns
noa	latency_clean	-	median	median_ns	20000	ns
noa	latency_clean	-	median	p99_ns	88000	ns
ghostty	latency_clean	-	1	median_ns	35000	ns
ghostty	latency_clean	-	1	p99_ns	73000	ns
ghostty	latency_clean	-	2	median_ns	27000	ns
ghostty	latency_clean	-	2	p99_ns	62000	ns
ghostty	latency_clean	-	median	median_ns	31000	ns
ghostty	latency_clean	-	median	p99_ns	67500	ns
termy	latency_clean	-	1	median_ns	16676000	ns
termy	latency_clean	-	2	median_ns	16670000	ns
termy	latency_clean	-	median	median_ns	16673000	ns
termy	latency_clean	-	median	p99_ns	18724500	ns
kitty	latency_clean	-	1	median_ns	3849000	ns
kitty	latency_clean	-	2	median_ns	3843000	ns
kitty	latency_clean	-	median	median_ns	3846000	ns
kitty	latency_clean	-	median	p99_ns	4964000	ns
noa	idle_cpu	-	avg	pct	0.44	pct
noa	idle_cpu	-	max	pct	1.1	pct
ghostty	idle_cpu	-	avg	pct	1.42	pct
ghostty	idle_cpu	-	max	pct	7.2	pct
termy	idle_cpu	-	avg	pct	0.44	pct
termy	idle_cpu	-	max	pct	0.9	pct
noa	throughput	ascii	1	inner_ns	1020767000	ns
noa	throughput	ascii	1	total_ns	1095135000	ns
noa	throughput	ascii	2	inner_ns	1028177000	ns
noa	throughput	ascii	2	total_ns	1099732000	ns
noa	throughput	ascii	3	inner_ns	979598000	ns
noa	throughput	ascii	3	total_ns	1045444000	ns
noa	throughput	ascii	median	inner_ns	1020767000	ns
noa	throughput	ascii	median	mib_per_s	146.9	mib_s
noa	throughput	unicode	1	inner_ns	948607000	ns
noa	throughput	unicode	1	total_ns	1029142000	ns
noa	throughput	unicode	2	inner_ns	938228000	ns
noa	throughput	unicode	2	total_ns	1016806000	ns
noa	throughput	unicode	3	inner_ns	939740000	ns
noa	throughput	unicode	3	total_ns	1004200000	ns
noa	throughput	unicode	median	inner_ns	939740000	ns
noa	throughput	unicode	median	mib_per_s	159.6	mib_s
ghostty	throughput	ascii	1	inner_ns	2022660000	ns
ghostty	throughput	ascii	1	total_ns	2232488000	ns
ghostty	throughput	ascii	2	inner_ns	2053061000	ns
ghostty	throughput	ascii	2	total_ns	2269303000	ns
ghostty	throughput	ascii	3	inner_ns	2059817000	ns
ghostty	throughput	ascii	3	total_ns	2275653000	ns
ghostty	throughput	ascii	median	inner_ns	2053061000	ns
ghostty	throughput	ascii	median	mib_per_s	73.1	mib_s
ghostty	throughput	unicode	1	inner_ns	1842900000	ns
ghostty	throughput	unicode	1	total_ns	2051935000	ns
ghostty	throughput	unicode	2	inner_ns	1889458000	ns
ghostty	throughput	unicode	2	total_ns	2095110000	ns
ghostty	throughput	unicode	3	inner_ns	1905070000	ns
ghostty	throughput	unicode	3	total_ns	2127977000	ns
ghostty	throughput	unicode	median	inner_ns	1889458000	ns
ghostty	throughput	unicode	median	mib_per_s	79.4	mib_s
termy	throughput	ascii	1	inner_ns	1029216000	ns
termy	throughput	ascii	1	total_ns	1248601000	ns
termy	throughput	ascii	2	inner_ns	1140647000	ns
termy	throughput	ascii	2	total_ns	1320955000	ns
termy	throughput	ascii	3	inner_ns	1030686000	ns
termy	throughput	ascii	3	total_ns	1218548000	ns
termy	throughput	ascii	median	inner_ns	1030686000	ns
termy	throughput	ascii	median	mib_per_s	145.5	mib_s
termy	throughput	unicode	1	inner_ns	1008437000	ns
termy	throughput	unicode	1	total_ns	1205015000	ns
termy	throughput	unicode	2	inner_ns	996319000	ns
termy	throughput	unicode	2	total_ns	1201833000	ns
termy	throughput	unicode	3	inner_ns	994445000	ns
termy	throughput	unicode	3	total_ns	1186743000	ns
termy	throughput	unicode	median	inner_ns	996319000	ns
termy	throughput	unicode	median	mib_per_s	150.6	mib_s
kitty	throughput	ascii	1	inner_ns	1438952000	ns
kitty	throughput	ascii	1	total_ns	1711036000	ns
kitty	throughput	ascii	2	inner_ns	1434786000	ns
kitty	throughput	ascii	2	total_ns	1718519000	ns
kitty	throughput	ascii	3	inner_ns	1435438000	ns
kitty	throughput	ascii	3	total_ns	1719986000	ns
kitty	throughput	ascii	median	inner_ns	1435438000	ns
kitty	throughput	ascii	median	mib_per_s	104.5	mib_s
kitty	throughput	unicode	1	inner_ns	1294768000	ns
kitty	throughput	unicode	1	total_ns	1577877000	ns
kitty	throughput	unicode	2	inner_ns	1301118000	ns
kitty	throughput	unicode	2	total_ns	1581114000	ns
kitty	throughput	unicode	3	inner_ns	1292844000	ns
kitty	throughput	unicode	3	total_ns	1575551000	ns
kitty	throughput	unicode	median	inner_ns	1294768000	ns
kitty	throughput	unicode	median	mib_per_s	115.9	mib_s
noa	scroll	-	1	inner_ns	217360000	ns
noa	scroll	-	2	inner_ns	211630000	ns
noa	scroll	-	3	inner_ns	217699000	ns
noa	scroll	-	median	inner_ns	217360000	ns
noa	scroll	-	median	mib_per_s	184.1	mib_s
ghostty	scroll	-	1	inner_ns	967919000	ns
ghostty	scroll	-	2	inner_ns	971487000	ns
ghostty	scroll	-	3	inner_ns	998268000	ns
ghostty	scroll	-	median	inner_ns	971487000	ns
ghostty	scroll	-	median	mib_per_s	41.2	mib_s
termy	scroll	-	1	inner_ns	275456000	ns
termy	scroll	-	2	inner_ns	271752000	ns
termy	scroll	-	3	inner_ns	270899000	ns
termy	scroll	-	median	inner_ns	271752000	ns
termy	scroll	-	median	mib_per_s	147.2	mib_s
kitty	scroll	-	1	inner_ns	363770000	ns
kitty	scroll	-	2	inner_ns	369891000	ns
kitty	scroll	-	3	inner_ns	377149000	ns
kitty	scroll	-	median	inner_ns	369891000	ns
kitty	scroll	-	median	mib_per_s	108.2	mib_s
