terminal	axis	variant	rep	metric	value	unit
noa	startup	pty_ready	1	ms	165	ms
noa	startup	window_visible	1	ms	156	ms
noa	startup	usable	1	ms	165	ms
noa	startup	pty_ready	2	ms	60	ms
noa	startup	window_visible	2	ms	125	ms
noa	startup	usable	2	ms	125	ms
noa	startup	pty_ready	3	ms	59	ms
noa	startup	window_visible	3	ms	147	ms
noa	startup	usable	3	ms	147	ms
noa	startup	pty_ready	4	ms	66	ms
noa	startup	window_visible	4	ms	143	ms
noa	startup	usable	4	ms	143	ms
noa	startup	pty_ready	5	ms	67	ms
noa	startup	window_visible	5	ms	131	ms
noa	startup	usable	5	ms	131	ms
noa	startup	pty_ready	median	ms	66	ms
noa	startup	window_visible	median	ms	143	ms
noa	startup	usable	median	ms	143	ms
ghostty	startup	pty_ready	1	ms	188	ms
ghostty	startup	window_visible	1	ms	42	ms
ghostty	startup	usable	1	ms	188	ms
ghostty	startup	pty_ready	2	ms	199	ms
ghostty	startup	window_visible	2	ms	44	ms
ghostty	startup	usable	2	ms	199	ms
ghostty	startup	pty_ready	3	ms	198	ms
ghostty	startup	window_visible	3	ms	42	ms
ghostty	startup	usable	3	ms	198	ms
ghostty	startup	pty_ready	4	ms	207	ms
ghostty	startup	window_visible	4	ms	45	ms
ghostty	startup	usable	4	ms	207	ms
ghostty	startup	pty_ready	5	ms	196	ms
ghostty	startup	window_visible	5	ms	41	ms
ghostty	startup	usable	5	ms	196	ms
ghostty	startup	pty_ready	median	ms	198	ms
ghostty	startup	window_visible	median	ms	42	ms
ghostty	startup	usable	median	ms	198	ms
termy	startup	pty_ready	1	ms	176	ms
termy	startup	window_visible	1	ms	200	ms
termy	startup	usable	1	ms	200	ms
termy	startup	pty_ready	2	ms	192	ms
termy	startup	window_visible	2	ms	219	ms
termy	startup	usable	2	ms	219	ms
termy	startup	pty_ready	3	ms	183	ms
termy	startup	window_visible	3	ms	211	ms
termy	startup	usable	3	ms	211	ms
termy	startup	pty_ready	4	ms	188	ms
termy	startup	window_visible	4	ms	216	ms
termy	startup	usable	4	ms	216	ms
termy	startup	pty_ready	5	ms	172	ms
termy	startup	window_visible	5	ms	197	ms
termy	startup	usable	5	ms	197	ms
termy	startup	pty_ready	median	ms	183	ms
termy	startup	window_visible	median	ms	211	ms
termy	startup	usable	median	ms	211	ms
kitty	startup	pty_ready	1	ms	257	ms
kitty	startup	window_visible	1	ms	295	ms
kitty	startup	usable	1	ms	295	ms
kitty	startup	pty_ready	2	ms	268	ms
kitty	startup	window_visible	2	ms	304	ms
kitty	startup	usable	2	ms	304	ms
kitty	startup	pty_ready	3	ms	242	ms
kitty	startup	window_visible	3	ms	272	ms
kitty	startup	usable	3	ms	272	ms
kitty	startup	pty_ready	4	ms	246	ms
kitty	startup	window_visible	4	ms	276	ms
kitty	startup	usable	4	ms	276	ms
kitty	startup	pty_ready	5	ms	260	ms
kitty	startup	window_visible	5	ms	295	ms
kitty	startup	usable	5	ms	295	ms
kitty	startup	pty_ready	median	ms	257	ms
kitty	startup	window_visible	median	ms	295	ms
kitty	startup	usable	median	ms	295	ms
noa	latency	-	r1	median_ns	15000	ns
noa	latency	-	r1	p99_ns	42000	ns
ghostty	latency	-	r1	median_ns	35000	ns
ghostty	latency	-	r1	p99_ns	153000	ns
noa	latency	-	r2	median_ns	16000	ns
noa	latency	-	r2	p99_ns	51000	ns
ghostty	latency	-	r2	median_ns	36000	ns
ghostty	latency	-	r2	p99_ns	129000	ns
noa	latency	-	r3	median_ns	16000	ns
noa	latency	-	r3	p99_ns	53000	ns
